Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,133
8994906.954197869,457
10478000.90109017,2
11961094.84798247,0
13444188.794874769,0
14927282.74176707,19
16410376.68865937,199
17893470.63555167,197
19376564.582443967,237
20859658.52933627,205
22342752.47622857,213
23825846.423120867,198
25308940.37001317,202
26792034.31690547,175
28275128.263797767,172
29758222.21069007,195
31241316.15758237,182
32724410.10447467,200
34207504.05136697,177
35690597.99825927,161
37173691.94515157,167
38656785.892043866,183
40139879.838936165,141
41622973.78582847,174
43106067.73272077,175
44589161.67961307,167
46072255.62650537,152
47555349.573397666,179
49038443.520289965,150
50521537.467182264,150
52004631.41407457,139
53487725.36096687,166
54970819.30785917,148
56453913.254751466,172
57937007.201643765,152
59420101.148536064,137
60903195.09542837,139
62386289.04232067,147
63869382.98921297,133
65352476.936105266,146
66835570.88299757,143
68318664.82988986,151
69801758.77678217,153
71284852.72367446,177
72767946.67056677,157
74251040.61745906,173
75734134.56435136,164
77217228.51124367,146
78700322.45813596,135
80183416.40502827,152
81666510.35192056,153
83149604.29881287,153
84632698.24570517,161
86115792.19259746,144
87598886.13948977,149
89081980.08638206,151
90565074.03327437,165
92048167.98016666,162
93531261.92705896,147
95014355.87395127,143
96497449.82084356,155
97980543.76773587,175
99463637.71462816,149
100946731.66152047,149
102429825.60841276,172
103912919.55530506,164
105396013.50219737,187
106879107.44908966,165
108362201.39598197,194
109845295.34287426,182
111328389.28976656,164
112811483.23665887,194
114294577.18355116,170
115777671.13044347,176
117260765.07733576,189
118743859.02422807,161
120226952.97112036,188
121710046.91801266,202
123193140.86490497,196
124676234.81179726,178
126159328.75868957,191
127642422.70558186,201
129125516.65247416,181
130608610.59936646,194
132091704.54625876,182
133574798.49315105,176
135057892.4400434,190
136540986.38693565,194
138024080.33382797,200
139507174.28072023,200
140990268.22761256,185
142473362.17450488,190
143956456.12139714,206
145439550.06828946,199
146922644.01518178,207
148405737.96207404,197
149888831.90896636,197
151371925.85585868,180
152855019.80275095,224
154338113.74964327,197
155821207.6965356,183
157304301.64342785,204
158787395.59032017,190
160270489.5372125,169
161753583.48410475,181
163236677.43099707,171
164719771.37788934,184
166202865.32478166,193
167685959.27167398,189
169169053.21856624,151
170652147.16545856,165
172135241.11235088,170
173618335.05924314,166
175101429.00613546,173
176584522.95302778,176
178067616.89992005,191
179550710.84681237,171
181033804.7937047,174
182516898.74059695,209
183999992.68748927,180
185483086.63438153,188
186966180.58127385,170
188449274.52816617,188
189932368.47505844,156
191415462.42195076,160
192898556.36884308,176
194381650.31573534,164
195864744.26262766,169
197347838.20951998,171
198830932.15641224,171
200314026.10330456,188
201797120.0501969,162
203280213.99708915,162
204763307.94398147,140
206246401.89087373,173
207729495.83776605,173
209212589.78465837,149
210695683.73155063,133
212178777.67844296,135
213661871.62533528,164
215144965.57222754,155
216628059.51911986,135
218111153.46601218,131
219594247.41290444,123
221077341.35979676,142
222560435.30668908,126
224043529.25358135,137
225526623.20047367,122
227009717.147366,131
228492811.09425825,123
229975905.04115057,145
231458998.98804283,124
232942092.93493515,135
234425186.88182747,137
235908280.82871974,108
237391374.77561206,117
238874468.72250438,139
240357562.66939664,143
241840656.61628896,155
243323750.56318128,120
244806844.51007354,123
246289938.45696586,128
247773032.40385818,117
249256126.35075045,135
250739220.29764277,116
252222314.24453503,139
253705408.19142735,108
255188502.13831967,96
256671596.08521193,95
258154690.03210425,121
259637783.97899657,137
261120877.92588884,121
262603971.87278116,115
264087065.81967348,97
265570159.76656574,113
267053253.71345806,106
268536347.6603503,109
270019441.60724264,120
271502535.55413496,121
272985629.5010272,100
274468723.44791955,122
275951817.39481187,114
277434911.34170413,94
278918005.28859645,101
280401099.2354887,116
281884193.18238103,100
283367287.12927336,104
284850381.0761656,92
286333475.02305794,100
287816568.96995026,89
289299662.9168425,98
290782756.86373484,99
292265850.81062716,107
293748944.7575194,125
295232038.70441175,297
296715132.65130407,137
298198226.5981963,104
299681320.54508865,83
301164414.4919809,86
302647508.43887323,94
304130602.38576555,107
305613696.3326578,102
307096790.27955014,89
308579884.22644246,99
310062978.1733347,110
311546072.12022704,86
313029166.06711936,95
314512260.0140116,93
315995353.96090394,94
317478447.90779626,86
318961541.8546885,77
320444635.80158085,83
321927729.74847317,90
323410823.6953654,102
324893917.64225775,87
326377011.58915,94
327860105.53604233,81
329343199.48293465,78
330826293.4298269,79
332309387.37671924,79
333792481.32361156,86
335275575.2705038,79
336758669.21739614,85
338241763.16428846,99
339724857.1111807,96
341207951.05807304,69
342691045.00496536,82
344174138.9518576,75
345657232.89874995,90
347140326.8456422,96
348623420.79253453,85
350106514.73942685,191
351589608.6863191,534
353072702.63321143,327
354555796.58010375,84
356038890.526996,70
357521984.47388834,70
359005078.42078066,70
360488172.3676729,72
361971266.31456524,65
363454360.26145756,58
364937454.2083498,82
366420548.15524215,64
367903642.1021344,81
369386736.0490267,60
370869829.99591905,60
372352923.9428113,62
373836017.88970363,79
375319111.83659595,77
376802205.7834882,81
378285299.73038054,63
379768393.67727286,94
381251487.6241651,59
382734581.57105744,64
384217675.51794976,59
385700769.464842,86
387183863.41173434,78
388666957.35862666,67
390150051.3055189,72
391633145.25241125,71
393116239.1993035,66
394599333.1461958,62
396082427.09308815,60
397565521.0399804,72
399048614.98687273,69
400531708.93376505,62
402014802.8806573,50
403497896.82754964,63
404980990.77444196,89
406464084.7213342,51
407947178.66822654,68
409430272.61511886,82
410913366.5620111,74
412396460.50890344,56
413879554.4557957,60
415362648.402688,78
416845742.34958035,72
418328836.2964726,57
419811930.24336493,67
421295024.19025725,70
422778118.1371495,61
424261212.08404183,52
425744306.03093415,70
427227399.9778264,59
428710493.92471874,53
430193587.87161106,62
431676681.8185033,45
433159775.76539564,63
434642869.7122879,39
436125963.6591802,53
437609057.60607255,52
439092151.5529648,51
440575245.4998571,49
442058339.44674945,54
443541433.3936417,54
445024527.34053403,49
446507621.28742635,48
447990715.2343186,62
449473809.18121094,60
450956903.12810326,58
452439997.0749955,43
453923091.02188784,62
455406184.96878016,52
456889278.9156724,49
458372372.86256474,36
459855466.809457,44
461338560.7563493,45
462821654.70324165,47
464304748.6501339,48
465787842.5970262,52
467270936.54391855,48
468754030.4908108,38
470237124.43770313,48
471720218.38459545,40
473203312.3314877,45
474686406.27838004,41
476169500.22527236,47
477652594.1721646,41
479135688.11905694,41
480618782.0659492,49
482101876.0128415,36
483584969.95973384,39
485068063.9066261,45
486551157.8535184,50
488034251.80041075,39
489517345.747303,43
491000439.69419533,45
492483533.64108765,46
493966627.5879799,43
495449721.53487223,34
496932815.48176455,38
498415909.4286568,29
499899003.37554914,41
501382097.3224414,32
502865191.2693337,29
504348285.21622604,39
505831379.1631183,44
507314473.1100106,44
508797567.05690295,45
510280661.0037952,55
511763754.9506875,50
513246848.89757985,40
514729942.8444721,29
516213036.79136443,30
517696130.73825675,28
519179224.685149,29
520662318.63204134,36
522145412.57893366,35
523628506.5258259,29
525111600.47271824,44
526594694.4196105,38
528077788.3665028,46
529560882.31339514,35
531043976.2602874,28
532527070.2071797,37
534010164.15407205,46
535493258.10096437,36
536976352.0478567,38
538459445.994749,27
539942539.9416413,42
541425633.8885336,25
542908727.8354259,27
544391821.7823182,28
545874915.7292105,22
547358009.6761028,36
548841103.6229951,35
550324197.5698874,36
551807291.5167797,36
553290385.463672,27
554773479.4105643,33
556256573.3574566,31
557739667.3043488,27
559222761.2512412,29
560705855.1981335,26
562188949.1450257,39
563672043.0919181,33
565155137.0388104,30
566638230.9857026,32
568121324.932595,40
569604418.8794873,23
571087512.8263795,36
572570606.7732719,28
574053700.7201642,31
575536794.6670564,31
577019888.6139488,31
578502982.5608411,31
579986076.5077333,47
581469170.4546257,40
582952264.401518,31
584435358.3484102,33
585918452.2953026,17
587401546.2421949,31
588884640.1890872,30
590367734.1359795,23
591850828.0828718,18
593333922.029764,25
594817015.9766564,23
596300109.9235487,35
597783203.870441,22
599266297.8173333,35
600749391.7642256,26
602232485.7111179,36
603715579.6580101,43
605198673.6049025,43
606681767.5517948,142
608164861.498687,430
609647955.4455794,481
611131049.3924717,248
612614143.3393639,45
614097237.2862563,31
615580331.2331486,35
617063425.1800408,12
618546519.1269332,23
620029613.0738255,26
621512707.0207177,18
622995800.9676101,16
624478894.9145024,18
625961988.8613946,28
627445082.808287,27
628928176.7551793,26
630411270.7020715,18
631894364.6489639,20
633377458.5958562,14
634860552.5427485,23
636343646.4896408,22
637826740.4365331,24
639309834.3834254,18
640792928.3303177,23
642276022.27721,13
643759116.2241023,25
645242210.1709946,16
646725304.1178869,22
648208398.0647792,24
649691492.0116714,20
651174585.9585638,23
652657679.9054561,19
654140773.8523483,19
655623867.7992407,20
657106961.746133,27
658590055.6930252,29
660073149.6399176,30
661556243.5868099,19
663039337.5337021,27
664522431.4805945,27
666005525.4274868,25
667488619.374379,32
668971713.3212714,25
670454807.2681637,25
671937901.215056,21
673420995.1619483,18
674904089.1088406,19
676387183.0557328,26
677870277.0026252,17
679353370.9495175,14
680836464.8964097,22
682319558.8433021,17
683802652.7901944,14
685285746.7370867,18
686768840.683979,18
688251934.6308713,23
689735028.5777636,20
691218122.5246558,26
692701216.4715482,15
694184310.4184405,16
695667404.3653327,16
697150498.3122251,17
698633592.2591174,17
700116686.2060096,23
701599780.152902,17
703082874.0997943,20
704565968.0466865,22
706049061.9935789,17
707532155.9404712,14
709015249.8873634,17
710498343.8342558,17
711981437.7811481,15
713464531.7280403,25
714947625.6749327,23
716430719.621825,14
717913813.5687172,27
719396907.5156096,35
720880001.4625019,21
722363095.4093941,19
723846189.3562865,9
725329283.3031788,20
726812377.250071,21
728295471.1969634,22
